series_id,actual,method,timestamp,origin_timestamp,horizon,variable,value
Y3,3070.2,A,1989,1988,1,Lo90,3312.389437
Y3,3601.6,A,1990,1988,2,Lo90,3322.989437
Y3,3407.4,A,1991,1988,3,Lo90,3333.589437
Y3,3070.2,B,1989,1988,1,Lo90,3399.329437
Y3,3601.6,B,1990,1988,2,Lo90,3434.479437
Y3,3407.4,B,1991,1988,3,Lo90,3447.189437
Y3,3070.2,C,1989,1988,1,Lo90,3312.389437
Y3,3601.6,C,1990,1988,2,Lo90,3322.989437
Y3,3407.4,C,1991,1988,3,Lo90,3333.589437
Y4,4656,A,1989,1988,1,Lo90,4748.509437
Y4,5228.52,A,1990,1988,2,Lo90,5088.249437
Y4,5656.72,A,1991,1988,3,Lo90,5427.979437
Y4,4656,B,1989,1988,1,Lo90,4572.909437
Y4,5228.52,B,1990,1988,2,Lo90,4607.209437
Y4,5656.72,B,1991,1988,3,Lo90,4614.379437
Y4,4656,C,1989,1988,1,Lo90,4748.509437
Y4,5228.52,C,1990,1988,2,Lo90,5088.249437
Y4,5656.72,C,1991,1988,3,Lo90,5427.979437
Y5,5250.9,A,1989,1988,1,Lo90,5122.949437
Y5,4899.2,A,1990,1988,2,Lo90,5049.869437
Y5,4317.9,A,1991,1988,3,Lo90,4976.789437
Y5,5250.9,B,1989,1988,1,Lo90,5201.929437
Y5,4899.2,B,1990,1988,2,Lo90,5204.889437
Y5,4317.9,B,1991,1988,3,Lo90,5205.309437
Y5,5250.9,C,1989,1988,1,Lo90,5122.949437
Y5,4899.2,C,1990,1988,2,Lo90,5049.869437
Y5,4317.9,C,1991,1988,3,Lo90,4976.789437
Y1,5379.75,A,1989,1988,1,Hi90,5629.510563
Y1,6158.68,A,1990,1988,2,Hi90,6099.040563
Y1,6876.58,A,1991,1988,3,Hi90,6568.560563
Y1,5379.75,B,1989,1988,1,Hi90,5696.950563
Y1,6158.68,B,1990,1988,2,Hi90,6233.510563
Y1,6876.58,B,1991,1988,3,Hi90,6769.710563
Y1,5379.75,C,1989,1988,1,Hi90,5629.510563
Y1,6158.68,C,1990,1988,2,Hi90,6099.040563
Y1,6876.58,C,1991,1988,3,Hi90,6568.560563
Y2,4793.2,A,1989,1988,1,Hi90,4365.680563
Y2,5602,A,1990,1988,2,Hi90,4278.550563
Y2,5065,A,1991,1988,3,Hi90,4191.420563
Y2,4793.2,B,1989,1988,1,Hi90,4498.240563
Y2,5602,B,1990,1988,2,Hi90,4513.530563
Y2,5065,B,1991,1988,3,Hi90,4518.640563
Y2,4793.2,C,1989,1988,1,Hi90,4365.680563
Y2,5602,C,1990,1988,2,Hi90,4278.550563
Y2,5065,C,1991,1988,3,Hi90,4191.420563
Y3,3070.2,A,1989,1988,1,Hi90,3758.550563
Y3,3601.6,A,1990,1988,2,Hi90,3769.150563
Y3,3407.4,A,1991,1988,3,Hi90,3779.750563
Y3,3070.2,B,1989,1988,1,Hi90,3845.490563
Y3,3601.6,B,1990,1988,2,Hi90,3880.640563
Y3,3407.4,B,1991,1988,3,Hi90,3893.350563
Y3,3070.2,C,1989,1988,1,Hi90,3758.550563
Y3,3601.6,C,1990,1988,2,Hi90,3769.150563
Y3,3407.4,C,1991,1988,3,Hi90,3779.750563
Y4,4656,A,1989,1988,1,Hi90,5194.670563
Y4,5228.52,A,1990,1988,2,Hi90,5534.410563
Y4,5656.72,A,1991,1988,3,Hi90,5874.140563
Y4,4656,B,1989,1988,1,Hi90,5019.070563
Y4,5228.52,B,1990,1988,2,Hi90,5053.370563
Y4,5656.72,B,1991,1988,3,Hi90,5060.540563
Y4,4656,C,1989,1988,1,Hi90,5194.670563
Y4,5228.52,C,1990,1988,2,Hi90,5534.410563
Y4,5656.72,C,1991,1988,3,Hi90,5874.140563
Y5,5250.9,A,1989,1988,1,Hi90,5569.110563
Y5,4899.2,A,1990,1988,2,Hi90,5496.030563
Y5,4317.9,A,1991,1988,3,Hi90,5422.950563
Y5,5250.9,B,1989,1988,1,Hi90,5648.090563
Y5,4899.2,B,1990,1988,2,Hi90,5651.050563
Y5,4317.9,B,1991,1988,3,Hi90,5651.470563
Y5,5250.9,C,1989,1988,1,Hi90,5569.110563
Y5,4899.2,C,1990,1988,2,Hi90,5496.030563
Y5,4317.9,C,1991,1988,3,Hi90,5422.950563
